supplier_id,supplier_name,country_of_origin,product_type
1,Wordtune,Brazil,home decor
2,Devpoint,Germany,toys
3,Jamia,Germany,books
4,Bluezoom,South Africa,outdoor gear
5,Skipstorm,France,kitchen appliances
6,Jabberbean,Australia,pet supplies
7,Divanoodle,Australia,jewelry
8,Abata,Brazil,outdoor gear
9,Fatz,France,books
10,Linkbuzz,Brazil,home decor
11,Oyoba,Brazil,outdoor gear
12,Meeveo,Germany,electronics
13,Rhynyx,South Africa,furniture
14,Flashspan,Brazil,beauty products
15,Oba,Brazil,kitchen appliances
16,Thoughtstorm,Australia,clothing
17,Yodel,Australia,books
18,Buzzbean,Brazil,kitchen appliances
19,Janyx,South Africa,toys
20,Eidel,Canada,furniture
21,Devbug,Canada,outdoor gear
22,Omba,Australia,clothing
23,Avaveo,Japan,furniture
24,Eimbee,USA,tools
25,Yodel,Australia,electronics
26,Skippad,Japan,furniture
27,Topdrive,Brazil,clothing
28,Plambee,Canada,kitchen appliances
29,Zava,Germany,electronics
30,Meeveo,Brazil,home decor
31,Tavu,Canada,furniture
32,Divavu,Brazil,beauty products
33,Linktype,Japan,home decor
34,Browsezoom,Canada,pet supplies
35,Devbug,Brazil,home decor
36,Aimbu,South Africa,jewelry
37,Topicshots,Australia,office supplies
38,Jabbersphere,USA,pet supplies
39,Trunyx,USA,sports equipment
40,Fivebridge,Brazil,furniture
41,Eadel,Brazil,kitchen appliances
42,Twitternation,Germany,tools
43,Photofeed,South Africa,furniture
44,Oba,Brazil,sports equipment
45,Youbridge,South Africa,toys
46,Myworks,Canada,toys
47,Eamia,Brazil,pet supplies
48,Voolith,Canada,office supplies
49,Dabshots,Japan,electronics
50,Skalith,Canada,office supplies
51,Topicstorm,South Africa,home decor
52,Buzzbean,Germany,office supplies
53,Kwinu,France,pet supplies
54,Yacero,Australia,electronics
55,Linkbridge,Brazil,pet supplies
56,Quamba,USA,electronics
57,Eamia,Germany,health supplements
58,Meejo,Germany,kitchen appliances
59,Browsetype,France,furniture
60,Rhybox,Australia,furniture
61,Flashdog,Japan,home decor
62,Kwilith,USA,health supplements
63,Yoveo,Brazil,books
64,Eazzy,USA,furniture
65,Roomm,USA,office supplies
66,Voonyx,USA,kitchen appliances
67,Wordpedia,Germany,pet supplies
68,Zoomzone,Germany,kitchen appliances
69,Oozz,South Africa,toys
70,Reallinks,USA,jewelry
71,Agivu,South Africa,pet supplies
72,Avavee,USA,sports equipment
